codigo,descricao,imagem
301500729888,MACACÃO ANSELL ALPHATEC 3000 TAM G,https://via.placeholder.com/240x240.png?text=EPI+G
301500729889,MACACÃO ANSELL ALPHATEC 3000 TAM GG,https://via.placeholder.com/240x240.png?text=EPI+GG
